,iso2,name
0,bm,Bambara
1,nl,Dutch
2,et,Estonian
3,te,Telugu
4,tr,Turkish
5,wa,Walloon
6,sn,Shona
7,jv,Javanese
8,gu,Gujarati
9,ss,Swati
10,ce,Chechen
11,sa,Sanskrit
12,is,Icelandic
13,sd,Sindhi
14,ko,Korean
15,bn,Bengali
16,ta,Tamil
17,bg,Bulgarian
18,mi,Maori
19,vi,Vietnamese
20,la,Latin
21,hu,Hungarian
22,wo,Wolof
23,ig,Igbo
24,lt,Lithuanian
25,fr,French
26,ty,Tahitian
27,ti,Tigrinya
28,hy,Armenian
29,ru,Russian
30,rw,Kinyarwanda
31,ts,Tsonga
32,af,Afrikaans
33,kk,Kazakh
34,ht,Haitian
35,tk,Turkmen
36,ks,Kashmiri
37,kr,Kanuri
38,sm,Samoan
39,ki,Kikuyu
40,gn,Guarani
41,ba,Bashkir
42,es,Spanish
43,hz,Herero
44,ln,Lingala
45,ng,Ndonga
46,ch,Chamorro
47,my,Burmese
48,cv,Chuvash
49,tn,Tswana
50,lv,Latvian
51,en,English
52,ml,Malayalam
53,aa,Afar
54,th,Thai
55,ha,Hausa
56,ab,Abkhazian
57,nv,Navajo
58,zu,Zulu
59,zh,Chinese
60,cs,Czech
61,bo,Tibetan
62,kg,Kongo
63,ja,Japanese
64,be,Belarusian
65,am,Amharic
66,he,Hebrew
67,ay,Aymara
68,ve,Venda
69,os,Ossetian
70,ga,Irish
