"","domain","raw.r","lmeModel.CultSimilarity.Beta","lmeModel.CultSimilarity.logLikelihoodDifference","lmeModel.CultSimilarity.ChiSquared","lmeModel.CultSimilarity.p","lmeModel.CultSimilarity.p.adjusted"
"2","Food and drink","0.215127356352237","0.0908490874641724","0.64","1.2871018590555","0.256582728815482",1
"3","Possession","0.243945844488145","0.037895649453822","0.13","0.258929181253791","0.610856777736302",1
"4","The physical world","0.246693362456743","0.0277932044463827","0.076","0.151658940056763","0.696955030164323",1
"5","Miscellaneous function words","0.152191002723705","0.113890875986833","0.59","1.17070716178222","0.279255985451369",1
"6","Basic actions and technology","0.31625033930474","0.0720279443976791","0.89","1.78683566259716","0.181312181764699",1
"7","Modern world","0.372901773433958","0.0672836681792618","0.45","0.894085271563711","0.344372633928496",1
"8","The house","0.229846562138678","0.0193795006859296","0.034","0.0688545485638201","0.79301191435526",1
"9","Quantity","0.213033680255704","0.152277174249412","0.33","0.660143085992047","0.416509433090948",1
"10","Animals","0.218875956537636","0.0721177314098371","0.24","0.4874961486546","0.485046346176073",1
"11","The body","0.263330736498602","0.0603479227081178","0.36","0.717146801055407","0.397081407851795",1
"12","Emotions and values","0.290671650747651","0.0619747236735915","0.45","0.903892227740783","0.341740201309594",1
"13","Cognition","0.19400753280095","-0.0430806924913533","0.045","0.0897849909807746","0.764450673173942",1
"14","Speech and language","0.255877231873465","0.0628475410629427","-0.38","0","1",1
"15","Motion","0.194926808999598","0.00904278496729124","0.02","0.0403461485554999","0.840805303094642",1
"16","Social and political relations","0.229206988662343","0.0213242366911528","0.026","0.0517026804052989","0.82012653361027",1
"17","Agriculture and vegetation","0.286314682129329","0.0860167160813168","0.85","1.70356835111622","0.191821975033713",1
"18","Spatial relations","0.21970465442773","-0.0105724908685677","0.0025","0.00490146639970135","0.944185323446743",1
"19","Time","0.198509981514999","0.0062128591600632","4.2e-05","8.39473779592481e-05","0.992689660389401",1
"20","Sense perception","0.331374205269699","0.0815670019194017","0.082","0.163543287117363","0.685915030286259",1
"21","Kinship","0.30751559142801","-0.0708233664935369","0.065","0.129983651945736","0.718448989731745",1
"22","Clothing and grooming","0.272417315927277","0.00881003338111649","0.012","0.0235957506941133","0.877917973941799",1
